Date,Transaction Description,Credit,Debit,Balance
9/23/2024,INTEREST CHARGE -PURCHASE,488.84,,28731.35
9/23/2024,INTEREST CHARGE - CASH,4.03,,28242.51
9/22/2024,TIM HORTONS ,6.76,,28238.48
9/22/2024,STARBUCKS 800-782-7282,25,,28231.72
9/22/2024,407ETR-PRE AUTH,164.24,,28206.72
9/22/2024,LOBLAWS #1001,178.54,,28042.48
9/21/2024,TIM HORTONS #2156,2.09,,27863.94
9/21/2024,SHOPPERS DRUG MART #13,23.72,,27861.85
9/21/2024,SQ *JOY LAUNDRY AND LINEN,68.69,,27838.13
9/21/2024,THE BEER STORE #2412,166.5,,27769.44
9/20/2024,TIM HORTONS #3156,2.09,,27602.94
9/20/2024,TIM HORTONS #1837,2.09,,27600.85
9/20/2024,DAVE & CHARLOTTE'S NO,32.84,,27598.76
9/20/2024,SHAWARMA DADDY,13.96,,27565.92
9/20/2024,INVIDEO INC,34.83,,27551.96
9/20/2024,ESSO CIRCLE K,69.87,,27517.13
9/20/2024,PIZZA PIZZA # 119,61.74,,27447.26
9/19/2024,MCDONALD'S #40675,9.02,,27385.52
9/19/2024,MCDONALD'S #7178  Q04,21.45,,27376.5
9/19/2024,WIX.COM,24.73,,27355.05
9/19/2024,TIM HORTONS #1908,2.09,,27330.32
9/19/2024,TIM HORTONS #1837,4.01,,27328.23
9/19/2024,TIM HORTONS #5557,1.88,,27324.22
9/19/2024,TIM HORTONS #5557,2.09,,27322.34
9/19/2024,LOBLAWS #1001,,53.55,27320.25
9/19/2024,LOBLAWS #1001,27.87,,27373.8
9/19/2024,INDIGO - SFC,25,,27345.93
9/19/2024,INDIGO - SFC,35,,27320.93
9/18/2024,MCDONALD'S #40675,10.83,,27285.93
9/18/2024,WIX.COM 1137127577,24.72,,27275.1
9/18/2024,TIM HORTONS #1908,2.09,,27250.38
9/18/2024,IMPARK00090544A,25,,27248.29
9/18/2024,EUREST-TDCAFE-23154,6.77,,27223.29
9/18/2024,DELTA TORONTO SFC F&B,195.26,,27216.52
9/17/2024,OLLY FRESCO'S,11.32,,27021.26
9/17/2024,OLLY FRESCO'S,9.8,,27009.94
9/17/2024,ENBRIDGE GAS/EZ-PAY,8.72,,27000.14
9/17/2024,KUBRAENBRIDGECONVFEE,0.15,,26991.42
9/17/2024,SPOTIFY,16.94,,26991.27
9/17/2024,TIM HORTONS #3490,1.88,,26974.33
9/17/2024,TIM HORTONS #3490,17.96,,26972.45
9/17/2024,TIM HORTONS #1908,13.99,,26954.49
9/17/2024,TIM HORTONS #1837,21.12,,26940.5
9/17/2024,TIM HORTONS #5557,2.09,,26919.38
9/17/2024,TIM HORTONS #5557,2.09,,26917.29
9/17/2024,TIM HORTONS #5557,22.59,,26915.2
9/17/2024,DOLLARAMA #1226,7.45,,26892.61
9/17/2024,DOLLARAMA #1226,29.66,,26885.16
9/17/2024,METRO  35,8,,26855.5
9/17/2024,INDIGO - SFC,25,,26847.5
9/17/2024,INDIGO - SFC,40,,26822.5
9/16/2024,OLLY FRESCO'S,11.32,,26782.5
9/16/2024,SHOPPERS DRUG MART #13,25.17,,26771.18
9/16/2024,ENBRIDGE GAS/EZ-PAY,69.77,,26746.01
9/16/2024,KUBRAENBRIDGECONVFEE,1.22,,26676.24
9/16/2024,TIM HORTONS #5557,9.99,,26675.02
9/16/2024,TIM HORTONS #5557,45.18,,26665.03
9/16/2024,DELTA TORONTO SFC F&B,222.68,,26619.85
9/16/2024,METRO  35,21.64,,26397.17
9/16/2024,PAYMENT - THANK YOU,,3500,26375.53
9/15/2024,ROYAL CAR WASH,45,,29792.97
9/15/2024,SQUARE ONE INSURANCE SERV,86.21,,29747.97
9/15/2024,ESSO CIRCLE K,105.62,,29661.76
9/15/2024,TIM HORTONS #0993,4.01,,29205.26
9/15/2024,TIM HORTONS #2813,6.87,,29201.25
9/15/2024,407ETR-PRE AUTH,75.06,,29194.38
9/15/2024,RCSS #1012,169.93,,28933.56
9/14/2024,PAYPAL *ALIPAYCANAD,25.43,,28763.63
9/14/2024,ROGERS ****,85.88,,28738.2
9/14/2024,TIM HORTONS #2813,2.99,,28652.32
9/14/2024,LOBLAWS #1079,13.55,,28649.33
9/14/2024,TIM HORTONS #2565,7.88,,28635.78
9/14/2024,TIM HORTONS #1754,8.1,,28627.9
9/14/2024,PARKING.COM,21,,28619.8
9/13/2024,SHN - CENTENARY HOSPITAL,8,,28598.8
9/12/2024,MCDONALD'S #7178  Q04,1.31,,28590.8
9/12/2024,SHN - CENTENARY HOSPITAL,8,,28589.49
9/12/2024,TIM HORTONS #1837,3.14,,28581.49
9/12/2024,TIM HORTONS #1950,3.55,,28578.35
9/12/2024,SHOPPERS DRUG MART #13,23.7,,28574.8
9/12/2024,TIM HORTONS #3156,2.09,,28551.1
9/12/2024,TIM HORTONS #1837,1.88,,28549.01
9/11/2024,TIM HORTONS #0536,2.4,,28278.81
9/11/2024,PAYPAL *MICROSOFT,21.46,,28276.41
9/11/2024,TIM HORTONS #3156,4.01,,28254.95
9/11/2024,TIM HORTONS #1837,3.76,,28250.94
9/10/2024,TIM HORTONS #3156,5.45,,27978.86
9/10/2024,TIM HORTONS #3156,1.88,,27973.41
9/9/2024,TIM HORTONS #1754,3.14,,27971.53
9/9/2024,MCDONALD'S #12721  Q04,11.29,,27968.39
9/9/2024,AMZN Mktp CA,11.29,,27957.1
9/9/2024,TIM HORTONS #5557,3.8,,27945.81
9/9/2024,TIM HORTONS #5557,2.09,,27942.01
9/9/2024,HARVEYS 0002805 QPS,4.74,,27671.6
9/9/2024,INDIGO - SFC,25,,27666.86
9/9/2024,AMZN Mktp CA*ZT,49.01,,27641.86
9/8/2024,WAL-MART SUPERCENTER#3635,48.52,,27592.85
9/8/2024,WIMPY'S DINER,59.11,,27544.33
9/8/2024,ESSO CIRCLE K,87.8,,27485.22
9/8/2024,MCDONALD'S #8213   Q04,15.7,,27397.42
9/8/2024,MCDONALD'S #7178  Q04,3.03,,27381.72
9/8/2024,TIM HORTONS #1837,1.88,,27378.69
9/8/2024,DOLLARAMA # 565,10.74,,27376.81
9/7/2024,WAL-MART SUPERCENTER#3111,9.85,,27366.07
9/7/2024,DOLLAR TREE # 40245,10.23,,27356.22
9/7/2024,TIM HORTONS #1954,2.09,,27345.99
9/7/2024,WAL-MART SUPERCENTER#3186,33.51,,27343.9
9/7/2024,SQUARE,123.53,,27310.39
9/7/2024,MCDONALD'S #7178  Q04,8.67,,27186.86
9/6/2024,TIM HORTONS #1950,3.76,,27178.19
9/6/2024,BELL CANADA (OB),221.48,,27174.43
9/6/2024,TIM HORTONS #0536,1.67,,26684.63
9/6/2024,TIM HORTONS #1908,6.77,,26682.96
9/6/2024,MCDONALD'S #40675,10.05,,26676.19
9/5/2024,TIM HORTONS #1837,6.53,,26666.14
9/4/2024,TIM HORTONS #1754,1.67,,26391.29
9/4/2024,OLLY FRESCO'S,11.83,,26389.62
9/4/2024,TIM HORTONS #3490,2.09,,26377.79
9/4/2024,TIM HORTONS #5557,1.88,,26375.7
9/4/2024,INDIGO - SFC,25,,26105.5
9/3/2024,Amazon.ca Prime Member,111.87,,26080.5
9/3/2024,TIM HORTONS #1837,3.76,,25968.63
9/3/2024,TIM HORTONS #3156,2.09,,25964.87
9/3/2024,PAYMENT - THANK YOU,,2500,25962.78
9/3/2024,CASH ADVANCE FEE,3.5,,28462.78
9/2/2024,TIM HORTONS #2523,1.88,,28459.28
9/2/2024,SHOPPERS DRUG MART #06,19.76,,28457.4
9/1/2024,CODENINJASPICKERING,162.72,,28437.64
9/1/2024,CODENINJASPICKERING,162.72,,28274.92
9/1/2024,GOOGLE*AD,130.61,,27926.44
9/1/2024,BURGER KING #29281,5.3,,27713.27
8/31/2024,SOCIAL SEVEN BAR & GRI,140.62,,27707.97
8/30/2024,TIM HORTONS #1837,5.63,,27567.35
8/30/2024,TACO BELL,3.14,,27561.72
8/30/2024,FUNLAND PLAYGROUND,36.14,,27558.58
8/30/2024,THESCORE BET,100,,27522.44
8/30/2024,MUJI MARKVILLE,27.57,,27422.44
8/30/2024,FELIX & NORTON,31.85,,27394.87
8/30/2024,MCDONALD'S #40675,3.98,,27363.02
8/30/2024,RELIANCE HOME COMFORT,61.93,,27359.04
8/29/2024,ESSO CIRCLE K,60.78,,27297.11
8/29/2024,SEVEN SPICY,28.6,,26968.01
8/29/2024,CASH ADVANCE FEE,3.5,,26939.41
8/28/2024,PAYPAL *TAX-PAYSIMP,1025,,26935.91
8/28/2024,MCDONALD'S #40675,8.96,,25910.91
8/28/2024,TIM HORTONS #1950,2.09,,25901.95
8/28/2024,TIM HORTONS #1950,6.31,,25899.86
8/28/2024,THESCORE BET,100,,25625.23
8/28/2024,PAYMENT - THANK YOU,,2500,25525.23
8/28/2024,SWISS CHALET PLUS 1260,4.74,,28025.23
8/27/2024,PAYPAL *GOOGLE AC,9.03,,28020.49
8/27/2024,ESSO CIRCLE K,50.74,,28011.46
8/27/2024,MCDONALD'S #40675,10.71,,27960.72
8/27/2024,HEYGEN TECHNOLOGY INC.,40.19,,27950.01
8/27/2024,FIDO Mobile ****,38.42,,27909.82
8/27/2024,ROGERS *****,62.14,,27871.4
8/27/2024,TIM HORTONS #5557,4.01,,27809.26
8/27/2024,TIM HORTONS #5557,2.09,,27805.25
8/27/2024,INDIGO - SFC,25,,27720.6
8/26/2024,PIZZA PIZZA # 119,55.34,,27695.6
8/26/2024,ESSO CIRCLE K,50.02,,27640.26
8/26/2024,TIM HORTONS #5557,2.09,,27321.92
8/26/2024,TIM HORTONS #5557,2.09,,27319.83
8/26/2024,BURGER KING #29281,12.43,,27317.74
8/26/2024,INDIGO - SFC,25,,27305.31
8/26/2024,Netflix.com,18.63,,27280.31
8/25/2024,ESSO CIRCLE K,63.04,,27261.68
8/25/2024,TIM HORTONS #3156,5.4,,27198.64
8/25/2024,TIM HORTONS #1950,11.75,,27193.24
8/25/2024,CIRCLE K,90.39,,27181.49
8/25/2024,DOLLARAMA #0999,10.74,,27091.1
8/25/2024,SQ *REGINOS PIZZA MORNING,50.25,,27080.36
8/24/2024,DOLLARAMA #0931,4.24,,26761.79
8/24/2024,DOLLAR TREE # 40245,18.65,,26757.55
8/24/2024,TIM HORTONS #1754,3.98,,26738.9
8/24/2024,MCDONALD'S #29130,16.49,,26734.92
8/24/2024,MCDONALD'S #7178  Q04,11.05,,26718.43
8/23/2024,CINEPLEX 7240     QPS,26.56,,26707.38
8/23/2024,HAKKA LEGEND ASIAN CUISIN,21.69,,26680.82
8/23/2024,PAYPAL *PIZZAPIZZAL,50.49,,26659.13
8/22/2024,NORTH AMERICAN MIDWAY ENT,100,,26608.64
8/22/2024,ESSO CIRCLE K,40,,26508.64
8/22/2024,MCDONALD'S #3729,16.66,,26468.64
8/22/2024,CAROUSEL BAR,17.25,,26451.98
